,Country,Time,Gender,Age,Chronic_percentage,Acute_percentage
560,2,2011,0,2,0.0,0.0
561,2,2011,0,3,0.0,0.0
562,2,2011,0,4,0.0,0.0
563,2,2011,0,5,0.0,0.0
564,2,2011,0,6,0.0,0.0
565,2,2011,0,7,0.0,0.0
566,2,2011,0,8,0.0,0.0
567,2,2011,1,0,0.0,0.0
568,2,2011,1,1,0.0,0.0
569,2,2011,1,2,0.0,0.0
570,2,2011,1,3,0.0,0.0
571,2,2011,1,4,0.0,0.0
572,2,2011,1,5,0.0,0.0
573,2,2011,1,6,0.0,0.0
574,2,2011,1,7,0.0,0.0
575,2,2011,1,8,0.0,0.0
576,2,2012,0,0,0.0,0.0
577,2,2012,0,1,0.0,0.0
578,2,2012,0,2,0.0,0.0
579,2,2012,0,3,0.0,0.0
580,2,2012,0,4,0.0,0.0
581,2,2012,0,5,0.0,0.0
582,2,2012,0,6,0.0,0.0
583,2,2012,0,7,0.0,0.0
584,2,2012,0,8,0.0,0.0
585,2,2012,1,0,0.0,0.0
586,2,2012,1,1,0.0,0.0
587,2,2012,1,2,0.0,0.0
588,2,2012,1,3,0.0,0.0
589,2,2012,1,4,0.0,0.0
590,2,2012,1,5,0.0,0.0
591,2,2012,1,6,0.0,0.0
592,2,2012,1,7,0.0,0.0
593,2,2012,1,8,0.0,0.0
594,2,2013,0,0,0.0,0.0
595,2,2013,0,1,0.0,0.0
596,2,2013,0,2,0.0,0.0
597,2,2013,0,3,0.0,0.0
598,2,2013,0,4,0.0,0.0
599,2,2013,0,5,0.0,0.0
600,2,2013,0,6,0.0,0.0
601,2,2013,0,7,0.0,0.0
602,2,2013,0,8,0.0,0.0
603,2,2013,1,0,0.0,0.0
604,2,2013,1,1,0.0,0.0
605,2,2013,1,2,0.0,0.0
606,2,2013,1,3,0.0,33.0
607,2,2013,1,4,0.0,0.0
608,2,2013,1,5,0.0,33.0
609,2,2013,1,6,0.0,0.0
610,2,2013,1,7,0.0,33.0
611,2,2013,1,8,0.0,0.0
612,2,2014,0,0,0.0,0.0
613,2,2014,0,1,0.0,0.0
614,2,2014,0,2,0.0,0.0
615,2,2014,0,3,0.0,0.0
616,2,2014,0,4,0.0,0.0
617,2,2014,0,5,0.0,0.0
618,2,2014,0,6,0.0,0.0
619,2,2014,0,7,0.0,0.0
620,2,2014,0,8,0.0,0.0
621,2,2014,1,0,0.0,0.0
622,2,2014,1,1,0.0,0.0
623,2,2014,1,2,0.0,0.0
624,2,2014,1,3,0.0,0.0
625,2,2014,1,4,0.0,0.0
626,2,2014,1,5,0.0,0.0
627,2,2014,1,6,0.0,0.0
628,2,2014,1,7,0.0,0.0
629,2,2014,1,8,0.0,0.0
630,2,2015,0,0,0.0,0.0
631,2,2015,0,1,0.0,0.0
632,2,2015,0,2,0.0,0.0
633,2,2015,0,3,0.0,0.0
634,2,2015,0,4,0.0,0.0
635,2,2015,0,5,0.0,0.0
636,2,2015,0,6,0.0,0.0
637,2,2015,0,7,0.0,0.0
638,2,2015,0,8,0.0,0.0
639,2,2015,1,0,0.0,0.0
640,2,2015,1,1,0.0,0.0
641,2,2015,1,2,0.0,0.0
642,2,2015,1,3,0.0,0.0
643,2,2015,1,4,0.0,0.0
644,2,2015,1,5,0.0,0.0
645,2,2015,1,6,0.0,0.0
646,2,2015,1,7,0.0,0.0
647,2,2015,1,8,0.0,0.0
648,2,2016,0,0,0.0,0.0
649,2,2016,0,1,0.0,0.0
650,2,2016,0,2,0.0,0.0
651,2,2016,0,3,0.0,0.0
652,2,2016,0,4,0.0,0.0
653,2,2016,0,5,0.0,0.0
654,2,2016,0,6,0.0,0.0
655,2,2016,0,7,0.0,0.0
656,2,2016,0,8,0.0,0.0
657,2,2016,1,0,0.0,0.0
658,2,2016,1,1,0.0,0.0
659,2,2016,1,2,0.0,0.0
660,2,2016,1,3,0.0,0.0
661,2,2016,1,4,0.0,0.0
662,2,2016,1,5,0.0,0.0
663,2,2016,1,6,0.0,0.0
664,2,2016,1,7,0.0,0.0
